experience_level,total_tasks_completed,missed_deadlines,average_task_duration,task_quality_score,performance_score,deadline_adherence,task_efficiency,completion_rate,productivity
1,28,14,3.0,63,49.2,40,0.5,0.6666666507936512,13.999999666666675
1,41,9,3.3,54,54.61,55,0.69,0.8199999836000004,13.418181549818188
1,32,11,5.0,67,51.01,45,0.59,0.7441860292049761,9.972092791346679
2,44,8,3.2,60,58.17,60,0.73,0.8461538298816571,15.865384310281069
1,67,14,4.4,59,52.64,40,0.71,0.8271604836153027,11.091470121205194
2,37,11,3.4,60,52.92,45,0.63,0.7708333172743059,13.602940893075987
1,70,9,4.4,51,57.05,55,0.8,0.8860759381509375,10.270425646749501
3,31,11,4.4,64,51.1,45,0.58,0.7380952205215424,10.735930480313343
2,59,12,3.5,56,54.43,40,0.71,0.830985903788931,13.295774460622896
3,36,10,3.5,58,53.22,50,0.64,0.7826086786389418,12.968943817445322
1,34,8,4.3,54,52.73,60,0.68,0.8095237902494337,10.16611271476033
2,61,12,3.8,56,54.24,40,0.72,0.835616426909364,12.314347343927471
1,34,12,3.4,69,53.61,40,0.59,0.7391304187145562,14.999999673913052
1,34,9,4.5,51,50.35,55,0.65,0.7906976560302871,8.961240101676587
1,74,10,3.3,52,58.84,50,0.79,0.8809523704648528,13.881673716415861
2,58,10,4.7,51,53.13,50,0.74,0.8529411639273359,9.255319012828538
3,32,13,4.0,70,51.22,40,0.55,0.7111110953086424,12.444444167901242
2,36,14,3.2,71,52.46,40,0.56,0.7199999856000003,15.974999680500007
1,51,8,4.4,72,60.53,60,0.76,0.8644067650100549,14.144837972891807
1,28,14,4.0,68,48.75,40,0.5,0.6666666507936512,11.33333306349207
2,59,9,3.6,53,57.05,55,0.77,0.8676470460640141,12.773692622609097
1,39,8,3.8,73,59.71,60,0.71,0.8297872163875061,15.94064915691788
1,45,13,3.6,69,54.03,40,0.63,0.7758620555885852,14.870689398781217
1,46,11,3.5,56,53.28,45,0.68,0.8070175297014469,12.91228047522315
1,40,12,3.3,71,55.42,40,0.62,0.7692307544378701,16.550116231845085
1,37,8,3.7,56,54.91,60,0.7,0.8222222039506177,12.44444416790124
1,32,14,3.5,66,49.84,40,0.53,0.6956521587901705,13.118012137186073
1,35,12,4.4,68,51.71,40,0.59,0.7446808352195567,11.508703817029511
1,28,9,4.4,71,54.88,55,0.61,0.7567567363038721,12.211301881267026
3,31,14,4.0,65,48.48,40,0.53,0.6888888735802473,11.194444195679019
1,63,11,4.6,52,53.28,45,0.74,0.8513513398466035,9.62397166783117
1,57,9,4.7,64,57.69,55,0.76,0.8636363505509644,11.760154560693984
1,38,11,4.2,63,52.46,45,0.63,0.7755101882548942,11.632652823823413
1,79,11,4.2,64,60.16,45,0.78,0.8777777680246915,13.375661227042919
3,26,12,3.6,63,50.17,40,0.52,0.6842105083102499,11.973683895429373
2,76,9,4.8,56,58.78,55,0.81,0.8941176365397926,10.43137242629758
1,54,9,3.0,74,62.94,55,0.75,0.8571428435374152,21.14285680725624
1,67,8,3.7,52,59.26,60,0.81,0.8933333214222224,12.554954787555559
2,37,14,4.4,66,49.11,40,0.57,0.7254901818531337,10.882352727797004
3,35,9,3.2,59,55.06,55,0.66,0.7954545273760335,14.666192848495617
1,74,8,3.4,64,64.33,60,0.82,0.9024390133848901,16.987087310774402
1,58,10,4.2,55,55.12,50,0.74,0.8529411639273359,11.169467622857969
1,23,10,4.1,66,51.95,50,0.53,0.6969696758494038,11.219511855136744
3,78,10,4.5,66,61.19,50,0.8,0.8863636262913225,12.99999985227273
1,44,13,4.6,63,50.41,40,0.63,0.7719298110187752,10.572082194387574
3,51,9,3.3,73,61.58,55,0.74,0.8499999858333336,18.803029989646472
1,59,13,3.0,74,59.02,40,0.69,0.8194444330632717,20.21296268222737
1,32,14,4.4,67,48.48,40,0.53,0.6956521587901705,10.592885145213959
1,64,9,3.6,74,63.67,55,0.78,0.8767123167573656,18.021308733345847
1,36,8,4.3,54,53.1,60,0.69,0.8181817995867773,10.274841204113017
1,68,13,3.3,57,55.48,40,0.72,0.8395061624752326,14.500560988208564
1,56,13,3.9,56,51.95,40,0.68,0.8115941911363161,11.6536601804189
1,25,14,4.0,72,49.29,40,0.5,0.6410256245890866,11.53846124260356
2,38,13,4.2,53,47.33,40,0.59,0.7450980246059211,9.402427453360433
1,32,11,4.0,67,52.83,45,0.59,0.7441860292049761,12.46511598918335
1,76,8,4.0,54,60.89,60,0.83,0.9047618939909299,12.214285568877553
3,79,10,3.7,65,62.55,50,0.8,0.8876404394647142,15.593683396001733
2,45,8,3.1,63,59.35,60,0.74,0.8490565877536493,17.255020976929
3,33,11,3.2,68,54.73,45,0.6,0.7499999829545458,15.937499637784098
3,50,14,3.9,63,51.56,40,0.64,0.781249987792969,12.620192110501806
1,73,14,3.7,58,54.73,40,0.72,0.8390804501255121,13.153153001967487
1,23,9,4.0,55,50.35,55,0.56,0.7187499775390632,9.882812191162119
2,79,8,3.6,66,65.42,60,0.83,0.9080459665741843,16.64750938719338
1,58,14,4.4,68,53.46,40,0.67,0.8055555443672842,12.449494776585299
1,27,13,4.7,61,46.6,40,0.51,0.6749999831250004,8.760638078856388
2,44,14,3.6,53,48.3,40,0.61,0.7586206765755056,11.168582182917165
1,32,14,3.4,65,49.74,40,0.53,0.6956521587901705,13.299232447459142
1,51,14,3.2,74,56.0,40,0.65,0.784615372544379,18.144230490088763
1,78,14,4.2,60,55.27,40,0.74,0.8478260777410209,12.111801110586013
1,57,10,3.9,71,59.83,50,0.74,0.8507462559590111,15.487944659766613
1,57,10,3.4,53,55.85,50,0.74,0.8507462559590111,13.261632813478704
1,75,9,4.3,66,62.22,55,0.81,0.8928571322278913,13.704318773730426
2,47,14,3.3,57,50.47,40,0.63,0.7704917906476756,13.30849456573258
1,72,8,4.1,63,62.43,60,0.82,0.8999999887500002,13.829268119817078
1,49,11,4.1,51,51.38,45,0.69,0.8166666530555559,10.158536416056915
2,22,9,4.5,60,50.62,55,0.55,0.7096773964620194,9.462365286160258
3,47,8,3.1,60,58.9,60,0.75,0.8545454390082647,16.539589142095448
2,22,14,4.8,73,47.57,40,0.5,0.611111094135803,9.293981223315338
2,64,12,4.4,71,57.78,40,0.73,0.8421052520775625,13.588516567615212
1,73,14,3.4,73,59.35,40,0.72,0.8390804501255121,18.015550840930114
1,53,10,3.4,55,55.66,50,0.73,0.841269827916352,13.608776628058635
1,35,11,3.9,70,54.37,45,0.61,0.7608695486767489,13.656632924967289
1,41,13,4.6,70,51.77,40,0.61,0.7592592451989029,11.55394503563548
1,51,11,4.7,63,53.91,45,0.7,0.8225806318938608,11.026080810492175
1,57,13,4.0,59,52.77,40,0.69,0.8142857026530614,12.010714114132655
2,27,11,4.7,57,47.93,45,0.55,0.7105262970914132,8.617021049832031
1,74,10,3.0,56,60.47,50,0.79,0.8809523704648528,16.444444248677254
1,27,13,3.1,57,48.42,40,0.51,0.6749999831250004,12.411290012298396
1,76,8,4.8,57,60.26,60,0.83,0.9047618939909299,10.744047491142293
1,25,13,4.6,72,49.41,40,0.5,0.6578947195290864,10.297482566542223
1,33,9,3.9,51,51.26,55,0.65,0.7857142670068032,10.274725030088964
2,51,8,4.5,65,58.44,60,0.76,0.8644067650100549,12.485875494589681
1,54,9,4.9,58,55.15,55,0.75,0.8571428435374152,10.14577243370818
1,29,14,4.5,62,46.39,40,0.51,0.6744185889670096,9.291989447989911
1,22,11,4.7,72,51.1,45,0.5,0.6666666464646471,10.212765647969062
2,78,8,4.5,61,62.25,60,0.83,0.9069767336398055,12.294573500450696
1,31,11,3.3,71,55.0,45,0.58,0.7380952205215424,15.880230502130157
1,68,14,4.7,74,56.36,40,0.71,0.829268282569899,13.056564448972878
1,78,12,3.4,66,60.77,40,0.76,0.8666666570370372,16.823529224836605
1,50,11,4.8,51,50.29,45,0.69,0.8196721177102931,8.709016250671866
2,48,14,3.9,62,50.92,40,0.63,0.7741935359001043,12.307692109181147
2,24,11,4.4,50,46.03,45,0.52,0.6857142661224496,7.79220756957329
1,71,14,4.0,68,56.54,40,0.72,0.8352941078200693,14.199999832941177
2,44,9,3.2,60,56.96,55,0.71,0.830188663581346,15.566037442150238
2,60,14,3.6,54,51.47,40,0.68,0.8108107998539081,12.16216199780862
2,50,13,5.0,50,47.24,40,0.66,0.7936507810531622,7.936507810531623
2,40,12,4.9,69,51.98,40,0.62,0.7692307544378701,10.832024909431233
1,77,11,3.6,62,60.35,45,0.78,0.8749999900568183,15.069444273200759
1,39,14,5.0,57,45.94,40,0.58,0.7358490427198294,8.388679087006055
1,58,14,4.7,55,49.38,40,0.67,0.8055555443672842,9.426713817063963
2,41,11,4.2,66,53.82,45,0.65,0.7884615232988169,12.390109651838552
1,23,12,3.1,61,49.99,40,0.5,0.6571428383673475,12.930875206583291
2,32,12,4.8,50,45.55,40,0.57,0.7272727107438021,7.575757403581273
2,64,14,4.1,52,50.74,40,0.7,0.8205128099934256,10.406503931623936
1,61,8,4.7,63,59.35,60,0.79,0.8840579582020586,11.85013858866589
2,69,9,4.7,57,57.96,55,0.79,0.884615373274162,10.728314101410048
1,68,12,4.7,60,54.97,40,0.74,0.8499999893750002,10.85106369414894
1,39,12,4.4,63,51.07,40,0.62,0.7647058673587085,10.949197646272417
2,71,10,3.6,57,59.11,50,0.78,0.8765431990550223,13.87860065170452
1,32,13,3.7,52,46.88,40,0.55,0.7111110953086424,9.993993771905243
2,36,12,3.6,56,50.08,40,0.6,0.7499999843750004,11.666666423611117
2,73,9,3.0,68,64.76,55,0.8,0.8902438915823916,20.17886154253421
1,55,13,4.2,53,50.41,40,0.68,0.8088235175173012,10.206582482956419
1,52,13,4.4,74,55.21,40,0.67,0.799999987692308,13.454545247552451
1,20,11,4.7,65,48.84,45,0.5,0.6451612695109268,8.922443088980902
1,34,11,3.3,62,53.1,45,0.61,0.7555555387654325,14.1952858798354
3,32,11,4.1,69,53.19,45,0.59,0.7441860292049761,12.524106345156918
1,36,11,3.0,68,55.63,45,0.62,0.7659574305115441,17.361701758261667
1,43,10,3.2,54,53.94,50,0.68,0.8113207394090427,13.691037477527596
1,77,12,3.1,72,62.76,40,0.76,0.865168529604848,20.094236816628726
1,27,11,4.5,54,47.48,45,0.55,0.7105262970914132,8.526315565096958
2,69,14,3.2,69,57.9,40,0.71,0.8313252911888519,17.92545159125962
1,46,8,4.4,73,59.89,60,0.74,0.8518518360768179,14.132996371274476
2,64,11,3.5,53,55.72,45,0.74,0.8533333219555558,12.921904589612703
1,42,12,4.8,51,47.63,40,0.64,0.7777777633744859,8.263888735853913
3,65,11,4.6,62,56.36,45,0.75,0.8552631466412745,11.52745980255631
1,27,10,4.9,65,50.95,50,0.57,0.7297297100073051,9.680087989892822
1,27,9,4.8,71,53.97,55,0.6,0.7499999791666673,11.093749691840287
3,78,9,4.9,51,57.6,55,0.81,0.8965517138327389,9.331456613361159
1,45,12,4.7,68,52.98,40,0.65,0.7894736703601111,11.422172252018628
3,66,14,4.4,66,54.37,40,0.7,0.8249999896875001,12.374999845312502
1,78,9,3.3,54,61.31,55,0.81,0.8965517138327389,14.670846226353909
1,32,9,3.5,74,58.05,55,0.64,0.7804877858417614,16.50174175779724
1,58,8,3.4,67,62.25,60,0.78,0.8787878654729112,17.317290290201484
2,56,12,4.2,72,56.96,40,0.7,0.8235293996539794,14.117646851211076
1,68,14,4.0,70,56.54,40,0.71,0.829268282569899,14.512194944973233
1,47,12,4.7,67,53.07,40,0.66,0.7966101559896585,11.355932010916408
1,44,9,4.9,57,53.07,55,0.71,0.830188663581346,9.657296698803412
1,35,9,3.8,64,55.33,55,0.66,0.7954545273760335,13.39712888212267
2,21,13,4.9,62,45.43,40,0.5,0.61764704065744,7.815125820563526
3,73,10,3.6,65,61.64,50,0.78,0.8795180616925535,15.880187225004438
3,37,11,4.6,71,53.73,45,0.63,0.7708333172743059,11.897644679668636
2,36,10,3.5,69,56.21,50,0.64,0.7826086786389418,15.42857109316771
1,49,12,4.4,62,52.61,40,0.67,0.8032786753560873,11.318926789108502
2,58,8,3.5,69,62.61,60,0.78,0.8787878654729112,17.32467506218025
1,32,11,4.8,51,47.03,45,0.59,0.7441860292049761,7.906976560302872
1,51,8,4.1,52,55.63,60,0.76,0.8644067650100549,10.963207751347039
1,69,14,3.4,64,56.18,40,0.71,0.8313252911888519,15.648476069437212
1,48,13,3.4,72,55.76,40,0.65,0.7868852330018815,16.66345199298102
2,65,12,4.0,68,57.87,40,0.73,0.8441558331927814,14.350649164277284
1,49,13,4.9,62,50.5,40,0.65,0.7903225678980231,9.99999983870968
1,37,12,4.5,54,48.08,40,0.61,0.7551020254060812,9.061224304872974
1,32,8,4.0,71,57.54,60,0.67,0.7999999800000005,14.199999645000009
3,62,8,3.7,55,59.17,60,0.79,0.8857142730612247,13.166022977937125
1,40,8,4.1,63,56.63,60,0.71,0.8333333159722226,12.804877782012202
1,49,12,4.5,53,49.99,40,0.67,0.8032786753560873,9.460837731971695
1,40,9,4.6,71,56.69,55,0.69,0.8163265139525202,12.599822280571509
2,67,8,3.6,68,63.79,60,0.81,0.8933333214222224,16.87407384908642
1,74,13,4.4,72,58.65,40,0.74,0.8505747028669575,13.918495137822939
1,36,14,4.3,56,46.39,40,0.56,0.7199999856000003,9.376743998511632
1,59,11,4.9,53,52.28,45,0.73,0.8428571308163267,9.11661794556435
1,38,12,4.9,51,46.72,40,0.61,0.7599999848000003,7.910203923428574
1,71,13,4.6,56,53.4,40,0.73,0.8452380851757371,10.289854949965497
1,34,10,4.4,52,49.59,50,0.63,0.7727272551652897,9.13223119740797
3,28,14,3.5,64,48.57,40,0.5,0.6666666507936512,12.190475900226764
1,71,10,4.7,50,55.21,50,0.78,0.8765431990550223,9.324927649521515
1,29,11,3.9,51,48.11,45,0.57,0.7249999818750005,9.480768993750006
3,63,9,3.5,59,59.59,55,0.78,0.8749999878472224,14.749999795138892
1,50,8,3.8,65,59.53,60,0.76,0.8620689506539837,14.745916261186565
1,72,12,4.7,74,59.5,40,0.75,0.8571428469387756,13.495440568823275
1,42,13,3.3,64,52.67,40,0.62,0.7636363497520664,14.809917086100683
1,71,8,3.9,73,65.33,60,0.82,0.898734165838808,16.82246002723923
3,49,13,4.0,64,52.67,40,0.65,0.7903225678980231,12.64516108636837
1,52,12,3.1,63,55.79,40,0.68,0.8124999873046878,16.51209651619204
2,76,10,3.4,71,64.18,50,0.79,0.8837209199567335,18.45417215203767
1,71,8,4.7,63,61.16,60,0.82,0.898734165838808,12.046862222945723
1,28,11,4.7,55,47.57,45,0.56,0.717948699539777,8.401527335039944
1,73,9,3.6,63,62.31,55,0.8,0.8902438915823916,15.579268102691852
1,66,11,4.7,66,57.45,45,0.75,0.8571428460111319,12.036474007815894
1,20,9,4.5,67,52.16,55,0.53,0.689655148632581,10.268198879640652
2,63,14,3.8,69,55.72,40,0.69,0.8181818075560805,14.856459137202513
1,54,13,4.5,68,53.76,40,0.67,0.8059701372243263,12.179104295834264
3,30,8,4.9,66,54.18,60,0.65,0.7894736634349037,10.63372689524564
1,53,8,3.9,65,59.89,60,0.77,0.8688524447729108,14.480874079548514
2,35,14,3.5,57,47.93,40,0.56,0.7142856997084551,11.632652823823411
2,28,9,4.9,56,49.9,55,0.61,0.7567567363038721,8.648648414901395
2,51,10,4.2,69,57.66,50,0.72,0.8360655600644991,13.735362772488198
2,34,12,3.2,61,51.8,40,0.59,0.7391304187145562,14.089673606746226
2,31,11,4.1,58,50.02,45,0.58,0.7380952205215424,10.441347022012064
1,52,14,4.0,63,51.74,40,0.65,0.7878787759412307,12.409090721074383
1,64,13,4.7,69,55.48,40,0.71,0.831168820374431,12.202265660816114
1,33,14,4.1,50,44.58,40,0.54,0.7021276446355821,8.56253225165344
3,76,11,3.5,59,59.53,45,0.78,0.8735632083498482,14.725779797897442
1,76,11,4.4,66,59.8,45,0.78,0.8735632083498482,13.103448125247722
2,27,13,4.1,66,49.05,40,0.51,0.6749999831250004,10.865853386890253
1,27,13,3.5,66,50.14,40,0.51,0.6749999831250004,12.728571110357151
1,46,8,4.1,53,55.0,60,0.74,0.8518518360768179,11.011743246846672
1,31,11,4.6,66,51.29,45,0.58,0.7380952205215424,10.590061859656915
1,20,12,3.1,67,51.07,40,0.5,0.6249999804687506,13.508064094002028
1,62,12,4.3,69,57.05,40,0.72,0.837837826515705,13.44437442548457
1,59,9,3.7,72,62.04,55,0.77,0.8676470460640141,16.883942518002435
1,61,14,3.6,51,50.83,40,0.69,0.813333322488889,11.522222068592594
1,70,13,3.8,57,54.94,40,0.73,0.8433734838147773,12.65060225722166
1,30,8,3.7,62,55.27,60,0.65,0.7894736634349037,13.22901814404433
1,58,12,4.7,72,56.42,40,0.71,0.828571416734694,12.693008937212333
2,62,10,3.5,74,62.28,50,0.76,0.8611110991512347,18.20634895348325
1,50,8,4.5,71,59.89,60,0.76,0.8620689506539837,13.601532332540632
1,36,8,3.2,69,59.17,60,0.69,0.8181817995867773,17.642045053589886
1,52,12,4.9,71,54.7,40,0.68,0.8124999873046878,11.772958999720984
1,51,10,4.2,64,56.3,50,0.72,0.8360655600644991,12.740046629554271
1,77,9,4.4,69,63.21,55,0.81,0.8953488267982694,14.04069751115468
1,48,12,3.6,72,56.6,40,0.67,0.7999999866666669,15.99999973333334
1,40,10,3.8,58,53.4,50,0.67,0.7999999840000004,12.210526071578954
1,40,8,3.4,52,54.91,60,0.71,0.8333333159722226,12.745097773692816
1,59,10,4.9,52,53.22,50,0.75,0.8550724513757616,9.074238259497879
2,42,8,4.0,51,53.91,60,0.72,0.8399999832000004,10.709999785800004
2,75,14,4.3,50,51.83,40,0.73,0.8426966197449818,9.798797904011417
1,25,12,4.5,63,48.36,40,0.51,0.6756756574141715,9.4594592037984
1,41,13,3.7,66,52.31,40,0.61,0.7592592451989029,13.543543292737185
1,69,12,4.4,62,56.24,40,0.74,0.8518518413351625,12.003366855177289
1,57,14,4.4,68,53.28,40,0.67,0.8028168901011706,12.407170119745365
3,56,11,4.4,72,57.81,45,0.72,0.8358208830474495,13.6770689953219
1,64,11,4.0,64,57.81,45,0.74,0.8533333219555558,13.653333151288892
1,70,11,3.8,74,61.98,45,0.76,0.8641975201950923,16.829109603799168
1,73,12,3.4,63,59.05,40,0.75,0.8588235193079586,15.913494622470997
2,27,9,4.6,51,48.9,55,0.6,0.7499999791666673,8.315217160326094
1,60,12,4.2,56,53.34,40,0.71,0.8333333217592594,11.111110956790125
1,68,14,3.9,66,55.63,40,0.71,0.829268282569899,14.033770935798291
1,54,14,4.9,67,51.56,40,0.66,0.7941176353806231,10.858343177653417
1,70,13,3.1,55,55.66,40,0.73,0.8433734838147773,14.963077938649272
1,30,10,4.7,70,53.22,50,0.6,0.7499999812500006,11.170212486702136
1,43,12,5.0,57,49.08,40,0.64,0.781818167603306,8.91272711067769
1,68,12,4.8,51,52.34,40,0.74,0.8499999893750002,9.031249887109379
1,40,8,4.6,50,52.19,60,0.71,0.8333333159722226,9.057970825785029
1,70,14,3.7,65,56.09,40,0.71,0.8333333234126985,14.639639465358215
1,21,8,3.5,56,52.37,60,0.57,0.7241379060642101,11.586206497027362
1,59,8,4.5,71,61.52,60,0.79,0.8805970017821343,13.893863805895897
1,38,12,3.6,73,55.06,40,0.61,0.7599999848000003,15.411110802888896
2,58,9,3.4,60,59.14,55,0.76,0.8656716288705727,15.276558156539519
1,47,10,4.6,64,54.85,50,0.7,0.8245613890427826,11.472158456247412
1,78,10,3.6,62,61.73,50,0.8,0.8863636262913225,15.265151341683886
1,36,14,4.8,73,50.11,40,0.56,0.7199999856000003,10.949999781000004
1,25,13,4.7,51,43.52,40,0.5,0.6578947195290864,7.138857594890085
2,38,14,4.7,63,47.93,40,0.58,0.7307692167159766,9.79541716023543
1,75,9,4.5,73,63.76,55,0.81,0.8928571322278913,14.484126811696903
3,57,9,4.8,55,55.06,55,0.76,0.8636363505509644,9.895833183396467
1,47,10,4.6,58,53.22,50,0.7,0.8245613890427826,10.396643600974217
1,21,11,4.2,56,47.48,45,0.5,0.6562499794921882,8.749999726562509
2,57,8,3.6,67,61.7,60,0.78,0.8769230634319529,16.32051256942801
2,74,8,4.8,73,64.24,60,0.82,0.9024390133848901,13.72459332856187
2,56,10,4.7,58,54.67,50,0.74,0.8484848356290177,10.47066392903894
2,70,14,3.9,72,57.63,40,0.71,0.8333333234126985,15.384615201465204
1,71,9,3.1,53,60.13,55,0.8,0.8874999889062501,15.173386907106858
2,23,14,4.3,58,44.58,40,0.5,0.6216216048210378,8.384663506888417
1,41,13,3.1,53,49.87,40,0.61,0.7592592451989029,12.98088386952963
2,45,11,4.9,61,51.92,45,0.67,0.8035714142219391,10.003644136232303
1,68,10,4.9,53,55.12,50,0.77,0.8717948606180146,9.429617880154035
2,62,8,3.4,74,64.88,60,0.79,0.8857142730612247,19.277310648979597
1,55,12,4.4,73,56.69,40,0.7,0.8208955101358879,13.619402781799957
1,77,14,3.2,69,59.35,40,0.73,0.8461538368554523,18.24519210719569
1,32,9,4.5,63,53.25,55,0.64,0.7804877858417614,10.92682900178466
2,71,12,3.7,73,60.86,40,0.75,0.8554216764407028,16.877238481127378
1,77,13,4.4,73,59.47,40,0.75,0.8555555460493829,14.194444286728396
1,51,10,3.7,56,55.03,50,0.72,0.8360655600644991,12.653965233408634
1,36,14,3.3,62,49.84,40,0.56,0.7199999856000003,13.52727245672728
1,60,8,3.8,71,62.97,60,0.79,0.8823529282006922,16.486067869012935
2,55,14,3.2,57,52.1,40,0.66,0.7971014377231675,14.198369359443923
1,74,11,4.2,72,61.43,45,0.77,0.8705882250519033,14.92436957231834
3,79,12,3.1,54,58.23,40,0.77,0.8681318585919576,15.122296891601842
1,65,11,4.1,61,56.99,45,0.75,0.8552631466412745,12.724646815882377
1,38,13,4.8,62,48.69,40,0.59,0.7450980246059211,9.624182817826481
2,77,8,4.7,69,63.88,60,0.83,0.9058823422837372,13.299123748420824
1,79,12,4.8,63,57.6,40,0.77,0.8681318585919576,11.394230644019444
1,54,13,4.8,67,52.95,40,0.67,0.8059701372243263,11.249999832089555
1,65,11,3.2,73,61.89,45,0.75,0.8552631466412745,19.510690532754072
2,59,11,3.3,74,60.89,45,0.73,0.8428571308163267,18.900432630426725
1,75,12,4.1,69,59.77,40,0.76,0.8620689556084028,14.50798974072678
3,78,8,4.8,53,59.53,60,0.83,0.9069767336398055,10.014534767272853
3,47,11,4.9,70,54.73,45,0.68,0.8103448136147446,11.576354480210636
1,20,10,3.1,67,53.49,50,0.5,0.6666666444444451,14.40860167025091
1,61,13,3.7,56,53.22,40,0.7,0.8243243131848066,12.476259875229504
1,37,12,3.4,64,52.8,40,0.61,0.7551020254060812,14.21368518411447
1,67,9,4.5,70,61.49,55,0.79,0.8815789357686983,13.71345011195753
1,59,9,4.3,55,56.33,55,0.77,0.8676470460640141,11.097811054307158
1,52,8,3.2,65,60.98,60,0.76,0.8666666522222225,17.604166373263894
1,31,10,4.0,69,54.4,50,0.61,0.7560975425342064,13.04268260871506
2,27,11,4.4,73,52.83,45,0.55,0.7105262970914132,11.7882772017439
2,43,9,4.6,57,53.43,55,0.7,0.8269230610207104,10.246655321343587
2,35,8,3.0,70,59.62,60,0.69,0.8139534694429427,18.99224762033533
1,69,13,4.8,65,55.12,40,0.73,0.8414634043723975,11.394816934209551
1,23,10,4.1,71,53.31,50,0.53,0.6969696758494038,12.069474874465286
1,57,10,4.6,65,56.93,50,0.74,0.8507462559590111,12.021414486377331
3,63,14,4.6,52,49.65,40,0.69,0.8181818075560805,9.249011737590475
1,46,8,3.4,66,59.8,60,0.74,0.8518518360768179,16.535947406197053
2,28,8,3.2,58,54.73,60,0.64,0.7777777561728402,14.097221830632728
1,66,14,4.4,74,56.54,40,0.7,0.8249999896875001,13.874999826562501
1,35,11,3.3,52,50.56,45,0.61,0.7608695486767489,11.989459554906347
2,75,8,4.7,69,63.52,60,0.82,0.9036144469444043,13.265829114715721
1,31,14,4.5,56,45.12,40,0.53,0.6888888735802473,8.572839315665298
2,50,11,4.7,67,54.82,45,0.69,0.8196721177102931,11.684687635444604
3,43,11,3.6,61,53.91,45,0.66,0.7962962815500689,13.492798104042835
1,74,12,3.6,68,60.22,40,0.76,0.8604651062736616,16.25322978516916
1,33,10,4.3,65,53.13,50,0.62,0.7674418426176316,11.600865062824663
1,64,13,3.1,71,58.93,40,0.71,0.831168820374431,19.036447176317612
3,44,10,4.5,73,56.93,50,0.69,0.8148147997256519,13.218106751105019
1,53,10,4.7,66,56.3,50,0.73,0.841269827916352,11.813576306910475
1,22,12,3.8,69,50.71,40,0.5,0.6470588044982705,11.749225660626491
1,77,11,4.5,64,59.26,45,0.78,0.8749999900568183,12.444444303030304
2,43,11,3.3,50,51.47,45,0.66,0.7962962815500689,12.065095175001046
1,73,8,3.6,51,60.26,60,0.82,0.9012345567748821,12.76748955431083
2,61,12,4.9,57,52.52,40,0.72,0.835616426909364,9.720435986496682
3,28,8,5.0,71,55.0,60,0.64,0.7777777561728402,11.044444137654331
1,45,12,4.0,74,55.88,40,0.65,0.7894736703601111,14.605262901662055
1,39,8,4.9,51,51.74,60,0.71,0.8297872163875061,8.636560823625063
3,59,9,4.0,68,60.41,55,0.77,0.8676470460640141,14.74999978308824
1,29,14,3.6,58,46.94,40,0.51,0.6744185889670096,10.865632822246264
2,38,10,3.5,58,53.58,50,0.66,0.7916666501736115,13.119047345734133
1,22,10,4.9,62,49.23,50,0.52,0.6874999785156257,8.698979319993631
1,43,13,3.3,55,50.41,40,0.62,0.7678571291454085,12.797618819090141
2,24,14,4.2,64,46.57,40,0.5,0.6315789307479229,9.624059897111206
1,22,11,4.1,68,51.1,45,0.5,0.6666666464646471,11.056910234047807
1,77,13,4.5,70,58.47,40,0.75,0.8555555460493829,13.308641827434846
1,46,9,4.0,64,56.96,55,0.72,0.8363636211570251,13.381817938512402
1,35,13,3.5,67,51.86,40,0.57,0.7291666514756948,13.95833304253473
1,68,10,3.3,56,58.84,50,0.77,0.8717948606180146,14.794094604426915
1,34,11,4.2,60,50.92,45,0.61,0.7555555387654325,10.793650553791894
3,54,9,4.4,57,55.79,55,0.75,0.8571428435374152,11.103895927643787
1,31,10,4.1,55,50.41,50,0.61,0.7560975425342064,10.142771912044232
1,60,14,4.5,57,50.65,40,0.68,0.8108107998539081,10.270270131482837
1,72,8,3.3,51,60.62,60,0.82,0.8999999887500002,13.909090735227277
2,63,12,4.8,68,56.06,40,0.72,0.8399999888000002,11.899999841333337
1,45,9,4.2,65,56.69,55,0.71,0.8333333179012349,12.896825157995302
3,66,11,3.3,56,57.27,45,0.75,0.8571428460111319,14.545454356552542
1,53,13,3.9,59,52.22,40,0.67,0.8030302908631775,12.148406964340378
1,42,14,4.7,61,48.11,40,0.6,0.7499999866071432,9.734042379369304
1,50,13,4.8,66,51.95,40,0.66,0.7936507810531622,10.912698239480981
1,69,9,3.5,56,59.86,55,0.79,0.884615373274162,14.153845972386591
1,39,14,4.4,71,50.83,40,0.58,0.7358490427198294,11.873927734797247
1,31,11,3.2,57,51.38,45,0.58,0.7380952205215424,13.147321115539974
2,42,9,3.1,56,55.69,55,0.7,0.8235293956170707,14.876660049856762
1,23,11,4.1,53,47.21,45,0.51,0.676470568339101,8.744619541944477
1,42,13,4.4,52,47.42,40,0.62,0.7636363497520664,9.024793224342602
1,67,10,4.6,68,59.56,50,0.77,0.8701298588294823,12.862789217479305
2,74,14,3.7,64,56.54,40,0.73,0.8409090813533059,14.54545438016529
1,67,8,3.0,53,60.8,60,0.81,0.8933333214222224,15.782222011792596
1,20,10,4.0,74,53.76,50,0.5,0.6666666444444451,12.333332922222235
1,73,8,3.0,58,63.24,60,0.82,0.9012345567748821,17.42386809764772
2,44,13,3.2,62,52.67,40,0.63,0.7719298110187752,14.95614008848877
